name,experience_years,technical_score,label
Jacob Graham,2.8,23,0
Colleen Newman,5.7,73,0
Lauren Williams,6.9,12,0
Mark Green,7.2,30,0
Michael Adams,5.6,48,0
Betty Hughes,2.0,94,0
Christopher Montoya,1.5,1,1
Susan Larson,1.8,63,0
Patricia Bennett,1.3,80,0
Kimberly Gutierrez,5.2,92,0
Sheryl Stewart,3.2,62,0
Michelle Jones,3.0,71,0
Sarah Baker,8.6,6,0
James Hartman,4.0,88,0
Corey Smith,1.6,27,1
Lauren Baker,8.1,60,0
Jason Williams,8.4,12,0
Andrew Lee,4.5,42,0
Frank Kirby,2.6,46,0
Valerie Frazier,5.6,32,0
Amber Murphy,3.4,52,0
Carla Chavez,1.2,86,0
Paul Alvarado,9.6,25,0
Joseph Parker,5.8,83,0
Maurice Wilson,6.5,22,0
Stacy Long,9.8,36,0
David Garcia,3.6,86,0
Bryan Burton,5.1,99,0
Brandon Ortiz,7.4,10,0
Keith Harris,3.8,36,0
Rachel Smith,4.6,18,0
Angela Stone,8.7,81,0
Cynthia Reed,8.1,43,0
Jennifer Garcia,4.2,78,0
Dennis Mccoy,5.7,9,0
Rebecca Garza,0.8,43,1
Paul Robertson,2.3,40,0
Michael Webster,6.5,90,0
Patricia Cooke,2.7,82,0
Geoffrey King,4.0,56,0
Carla Rush,7.8,46,0
Tiffany Johnson,7.5,66,0
Joshua Horton,9.7,52,0
Kimberly Grimes,1.7,2,1
Destiny Johnson,1.3,30,1
Elizabeth Vargas,6.6,95,0
Joseph Ware,7.0,10,0
Russell Hall,2.1,50,0
Ashlee Montgomery,1.0,8,1
Jeremy Elliott,9.4,60,0
Seth Freeman,5.5,3,0
Jorge Walls,7.7,67,0
Cindy Johnson,7.6,10,0
Taylor Perez,1.0,79,0
Raymond Edwards,1.6,83,0
Joshua Perez,9.3,49,0
Renee Morris,3.1,31,0
Sabrina Fleming,7.4,56,0
Julie Carter,6.3,16,0
Jessica Mills,5.3,21,0
Jesse Pratt,0.3,84,0
Dawn Mack,3.6,41,0
William Parks,8.6,59,0
John Graham,9.7,69,0
Holly Roberts,9.3,70,0
Raymond Perry,4.4,89,0
Melinda Hart,5.4,75,0
Samuel Stokes,6.0,80,0
Larry Williams,7.5,72,0
Jennifer Boyer,4.3,81,0
Dorothy Deleon,6.4,39,0
Noah Farmer,9.1,61,0
Gabriella Smith,5.4,11,0
Katie Wolf,4.4,46,0
Troy Scott,4.1,19,0
Mindy Dominguez,3.0,0,0
James Rodriguez,5.2,97,0
Reginald Wilson,8.5,44,0
Robert Gonzalez,2.9,68,0
Timothy Graham,0.1,62,0
Theresa English,9.5,61,0
Logan Hunter,3.0,98,0
Christopher Fitzgerald,4.3,37,0
Michael Mullins,6.0,0,0
Frank Austin,5.5,24,0
Toni Davis,4.1,71,0
Timothy Gonzalez,4.4,31,0
Marissa Conrad,1.6,94,0
Tracy Murray,6.5,48,0
Amy Jackson,2.2,10,0
Kevin Jones,4.2,30,0
Sandra Mcdowell,5.2,78,0
Paige Aguilar,8.1,87,0
Brian Anderson,2.7,83,0
Charles Lucas,7.4,34,0
Patricia Owens,4.1,8,0
Alicia Brown,1.8,37,1
Kevin Nicholson,1.1,58,1
Michael Williams,6.2,34,0
Ray Allen,7.0,62,0
Calvin Castillo,1.9,2,1
Randy Thompson,1.5,68,0
Joseph Wiley,0.2,13,1
Whitney Vega,2.8,16,0
Julia Vega,7.2,93,0
Curtis Moore,0.1,11,1
Corey Reed,1.5,63,0
Dean Harper,2.2,53,0
Randall Meadows,3.1,63,0
Mitchell Mann,10.0,59,0
Brian Johnson,7.0,4,0
Deborah Miller,3.3,96,0
Darlene Boyd,9.5,7,0
Kayla Miller,2.7,50,0
Alexander Brown,0.7,60,0
Patrick Jackson,1.8,32,1
Kim Davis,8.2,1,0
Daniel Fleming,1.2,98,0
Luis Munoz,7.1,49,0
Mark Jackson,7.7,56,0
Alicia Jones,2.5,4,0
Cheryl Dennis,2.0,94,0
Melody Bauer,7.7,66,0
John Mack,6.7,26,0
Shannon Crosby,4.7,87,0
Jessica Williams,9.6,41,0
Benjamin Davenport,1.6,93,0
Patrick Boyd,0.4,70,0
Stacey Norris,5.2,32,0
Kevin Moore,4.8,38,0
Glen Jones,2.0,6,0
Amy Smith,8.6,27,0
Courtney Harris,9.7,30,0
Samantha Chang,6.3,41,0
Ronald Carr,0.2,35,1
Joseph Bennett,5.8,50,0
Ann Rogers,7.9,1,0
Karen Davis,9.7,74,0
Meredith Hicks,7.8,60,0
Frederick Jenkins Jr.,6.9,19,0
April Schneider,3.7,11,0
James Perez,2.5,63,0
Hailey Perry,0.9,79,0
Kelly Edwards,3.4,97,0
Jason Joyce,6.3,7,0
Janet Roth,3.6,19,0
William Williams,7.0,13,0
Sarah King,1.3,29,1
Kyle Spencer,3.2,71,0
Arthur Schmidt,7.9,96,0
Kelly Young,3.5,56,0
Courtney Wright,7.3,2,0
Daniel Moody,6.9,45,0
Tricia Peterson,7.2,32,0
Jack Cisneros,9.0,62,0
Hector Williams,7.1,71,0
Lisa Allen,2.9,89,0
Emily Wallace,4.9,72,0
Ryan Sanchez,1.9,44,1
Victoria Huynh,3.2,59,0
Gerald Torres,2.8,76,0
Heather Patterson,9.1,70,0
Justin Ellison,1.6,67,0
Steven Cook,1.6,37,1
Melissa Vance,8.2,69,0
Alison Mendoza,3.7,0,0
Lucas Smith DDS,7.8,64,0
Jason Parker,3.8,23,0
Mary Kemp,8.8,79,0
Breanna Adams,8.6,99,0
Jane Chapman,6.2,41,0
Sarah Murphy,7.2,84,0
Joanne Hill,9.7,49,0
Jennifer James,1.9,87,0
Amanda Sanchez,5.0,70,0
Amy Chavez,1.5,36,1
Mackenzie Hill,3.2,82,0
Michael Wilson,3.2,12,0
Jay Tate,5.2,8,0
Brian Roman,0.4,16,1
Emily Cook,1.8,4,1
Rachel Gonzalez,2.0,62,0
Ricky Hardy,1.9,4,1
Sarah Leonard,5.7,49,0
Alexandria Larson,6.6,67,0
Justin Hicks,6.2,75,0
Rachel Shields,2.6,46,0
Kimberly Mckee,2.2,91,0
Joshua Stewart,0.7,26,1
Laura Thomas,6.6,10,0
Alison Haynes,4.7,81,0
Mrs. Marissa Christian,0.6,71,0
Javier Schmidt,7.4,53,0
Cynthia Hudson,8.2,90,0
Monica Jenkins,0.6,78,0
Ryan Todd,2.7,5,0
Natalie Rosales,7.3,38,0
Shane Williamson,0.8,27,1
Patrick Garcia,9.6,12,0
Alan Chavez,1.0,29,1
Robert Shaw,5.3,24,0
Jonathan Carter,1.9,84,0
Rachael White,2.5,80,0
Joseph Cook,9.5,71,0
Eric Anderson,7.5,53,0
Robert Zavala,7.5,98,0
Carolyn Heath,6.4,45,0
Rebecca Wilson,6.7,89,0
Jordan Hall,6.7,13,0
Gabriela Jones,1.7,23,1
Shannon Martin,5.5,64,0
Tracey Morales,3.4,20,0
Daniel Johnson,5.3,76,0
Jeremiah Hines,4.4,45,0
Michael Joseph,9.0,70,0
Keith Bell,9.9,41,0
Casey Hudson,8.4,52,0
Johnny Branch,7.6,55,0
Barbara Ward,8.3,41,0
Robert Mclean,6.1,72,0
Brianna Sanchez,5.5,48,0
John Frederick,7.7,95,0
William Wilson,2.5,57,0
Eric Johnson,4.5,50,0
Stephen Edwards,0.0,4,1
Samuel Bruce,9.8,76,0
Jeffrey Rodriguez,0.2,17,1
Holly Walker,9.9,38,0
Jacob Morris,0.1,28,1
Michelle Jones,2.1,40,0
Sean Young,0.2,88,0
Jason George,8.2,70,0
Kyle Williams,5.1,73,0
Sandra Simpson,9.3,19,0
Christopher Kaiser,0.9,58,1
Kimberly Baker,3.6,17,0
Joel Martin,2.6,74,0
Jerome Holland,2.5,32,0
Meghan Davis,8.1,11,0
Miss Lisa Soto DDS,5.7,72,0
Karla Gutierrez,9.2,93,0
Jacqueline Freeman,0.8,41,1
Allison Jimenez,7.9,22,0
Sarah Rodriguez,4.9,88,0
Regina Hammond,7.0,12,0
Seth Tucker,6.0,38,0
Richard Knight,0.4,73,0
Vincent George,3.8,99,0
Jesus George,0.6,98,0
Aaron Schultz,3.3,55,0
Stephanie Jackson,4.2,15,0
Jason Duncan,8.7,29,0
Shannon Turner,7.5,77,0
Duane Smith,9.3,81,0
Destiny Tran,7.8,48,0
Daniel Lane,0.5,67,0
Scott Walker,0.4,69,0
Nancy Johnson,5.6,41,0
Connie Pratt DDS,5.0,28,0
Peggy Miller,1.5,86,0
Jennifer Hernandez,7.3,50,0
Wanda Pearson,9.7,96,0
Miss Rachel Bryant,6.0,64,0
Jennifer Acevedo,0.9,55,1
Michael Hughes,2.9,50,0
Christine Ortiz,1.5,43,1
Christopher Williams,0.8,73,0
Cheyenne Green,7.5,70,0
Sonya Tucker,4.0,10,0
Dominic Parrish,4.0,55,0
Earl Castillo,7.7,16,0
Anthony Rodriguez,7.6,61,0
Daniel Williams,5.6,62,0
Jessica Martinez,4.0,73,0
Tracy Stanley,2.0,78,0
Rachel Harrison,10.0,67,0
Mikayla Nguyen,2.5,9,0
Michael Collins,2.7,55,0
Jesse Martinez,3.2,73,0
Andrea Gilbert,0.9,85,0
Michael Mcclure MD,4.1,46,0
Zachary Smith,3.5,41,0
Teresa Harding,3.4,83,0
Haley Baker,0.2,39,1
Nicholas Barnett,1.7,44,1
Mrs. Amanda Edwards,6.2,56,0
Sandra Brown,6.2,56,0
Bailey Quinn,0.4,29,1
Michaela Richards,2.0,47,0
Brandon Burgess,1.6,93,0
Ashlee Pierce,8.5,14,0
Jessica Pena,7.4,31,0
Ricardo Mendez,9.5,18,0
Shane Young,8.7,36,0
Tiffany Collins,0.1,88,0
James Johnson,8.0,39,0
Lisa Clarke,4.5,2,0
Gabriella Graham,3.3,94,0
Shelia Barrett,5.4,26,0
Scott Chavez,5.5,96,0
Darlene Snyder,2.6,61,0
Benjamin Baker,6.2,18,0
Jennifer Davis,7.0,85,0
Loretta Fields,0.2,74,0
Chelsea Hunt,9.1,67,0
Gary Greene,0.4,21,1
Alicia Coleman,0.6,25,1
Preston Spencer,7.9,79,0
Adam Brady,2.7,59,0
Johnny Cruz,6.5,1,0
Christopher Fox,0.7,84,0
Helen Snow,2.7,84,0
Yesenia Arias,3.6,13,0
Jerry Parker,0.2,83,0
Sheryl Lucas,3.9,48,0
Shane Moore,5.1,90,0
Dr. Anthony Mahoney MD,1.0,40,1
Mike Smith,4.8,76,0
Anthony Anderson,5.3,23,0
Hector Mitchell,2.0,58,0
William Solis III,5.6,91,0
Michael Jones,0.2,31,1
Christian Turner,9.2,39,0
Jose Jones,3.3,50,0
Christopher Williams,7.4,2,0
Carrie Wilson,3.5,45,0
Frank French,3.6,38,0
James Mitchell,2.4,64,0
Wyatt Shelton,2.8,7,0
Crystal Lopez,6.3,49,0
Nathan Ramos,8.9,3,0
Melissa Jacobs,9.4,35,0
Gabriel Chung,2.3,43,0
Kenneth Stevenson,9.0,84,0
Linda Flores,1.4,93,0
Betty Smith,3.8,86,0
Ronald Barton,6.1,80,0
Sean Hansen,6.9,53,0
Harry Williams,2.4,19,0
Karen Todd,4.3,39,0
Jeremy Garner,9.1,42,0
Julie Kennedy,4.5,16,0
Bailey Porter,2.1,17,0
Kyle Daniels,5.8,87,0
Wendy Richardson,8.0,17,0
Kathleen Greer,3.1,90,0
Christopher Richardson,9.0,17,0
Stephanie Davis,4.3,98,0
Alicia Smith,1.5,72,0
John Parker,9.2,40,0
John Hall,0.7,68,0
Victoria King,9.5,15,0
Javier Sullivan,1.8,18,1
Christine Morgan,7.3,97,0
Kaitlyn Kennedy,3.2,52,0
Stephen Johnson,9.6,38,0
Elizabeth Adkins,4.4,81,0
Austin Smith,9.3,35,0
Austin Garza,1.5,24,1
Brandon Jones,1.1,23,1
Chris Williams,0.3,78,0
Jacqueline Ward,6.2,77,0
Jordan Miranda,5.7,29,0
Matthew Banks,6.0,29,0
Micheal Turner,6.9,45,0
Michele Jones,0.8,99,0
Jessica Sellers,4.8,64,0
Andrea Robinson,8.5,60,0
Jodi Meyers,7.1,47,0
Kenneth Crawford,1.8,49,1
Chase Bennett,4.9,17,0
Mark Campbell,1.6,28,1
Steven Reed,0.3,97,0
Richard Rice,9.7,34,0
Robert Cohen,9.5,28,0
Jeffrey Richardson,7.4,25,0
Amy Ferguson,7.6,8,0
Ryan Mooney,1.8,56,1
David Hood,8.7,62,0
Anthony Baker,6.9,58,0
Kelly Saunders,8.9,54,0
Erica Jackson,4.0,5,0
Janice Cortez,6.1,48,0
Michael Garcia,7.2,50,0
George Green,6.1,95,0
Dr. Robert Simpson,5.7,68,0
Kathy Clayton,5.3,90,0
David Palmer,7.9,66,0
Taylor Chambers,1.1,58,1
Lisa Harmon,8.3,5,0
Catherine Herman,8.8,31,0
Abigail Mitchell,5.2,50,0
John Ray,9.8,5,0
Kaitlin Wright,5.6,66,0
Frank Smith,7.7,6,0
Dustin Owens,1.9,56,1
Margaret Miller,4.0,38,0
Robert Obrien,7.7,36,0
Robert King,4.6,54,0
Mr. Steven Tyler,2.9,6,0
Richard Gomez,6.9,18,0
Haley Malone,4.6,82,0
Philip Leonard,4.5,92,0
Marcus Martin,5.0,23,0
Matthew Davis,7.8,89,0
James Li,5.5,50,0
David Davis,4.1,57,0
Daniel Holmes,0.2,58,1
Jennifer Hoffman DDS,5.9,91,0
Jennifer Meyer,9.0,58,0
Tracy Frazier,0.9,41,1
Derek Nelson,6.9,91,0
Mrs. Laura Matthews,8.0,91,0
Phillip Henry,7.3,11,0
Philip Coleman,1.1,57,1
Steven Mccullough,6.3,10,0
Robert Levy,5.2,49,0
Krista Morgan,7.3,65,0
Preston Turner,6.1,20,0
Nicholas Hill,3.8,48,0
Colleen Holden,0.4,21,1
Adam Kim,9.1,72,0
Sara Rodriguez,8.7,19,0
Michael Mckinney,1.6,18,1
Diamond Thomas,1.8,91,0
Kristin Garrison,0.5,39,1
Jane Little,3.1,98,0
Katherine Jackson,9.6,36,0
Thomas Torres,6.3,15,0
Kathryn Marks,9.0,25,0
Lauren Bishop,0.0,97,0
Lisa Love,2.5,58,0
Kathy Crawford,5.0,63,0
Breanna Bentley,5.4,0,0
Chelsey Torres,6.1,63,0
Allen Stein,2.4,75,0
Michael Douglas,6.6,58,0
Jennifer Garcia,4.1,10,0
Richard Moore,6.0,0,0
Christopher Brown,2.4,70,0
Dalton Petersen,2.8,80,0
Gregory Meyer,5.6,26,0
Raymond Bradley,0.5,18,1
Joel Holland,0.6,44,1
Jacob Lucas,0.4,4,1
Darius Hubbard,6.7,77,0
Glenn Washington,3.0,11,0
Brooke Rhodes,0.5,53,1
Kevin Miller,9.9,20,0
Bonnie Stewart,6.7,78,0
Eric Woodward,6.6,89,0
Kelly Floyd,5.9,100,0
Amanda Rodriguez,5.6,58,0
Andrew Munoz,7.5,46,0
Sandra Garcia,9.3,11,0
Mary Weiss,7.7,41,0
Casey Rubio,3.7,48,0
Jodi Vang,8.2,97,0
Andrew Cooper,4.3,70,0
Angela Cooper,0.6,60,0
Bobby Crawford,1.3,88,0
James Jones,8.6,42,0
Amber Davis,5.3,67,0
Matthew Cannon,2.1,26,0
Benjamin Woods,6.1,13,0
Kimberly Rosario,5.7,80,0
Edward Rivera,5.3,11,0
Brittany Morgan,4.8,88,0
Leslie Mcintyre MD,6.0,100,0
Michael Hayes,9.9,36,0
Selena Glenn,4.3,40,0
Veronica Stone,2.6,73,0
Nicholas Richardson,10.0,45,0
Michael Berg,9.3,78,0
Steve Garrison,5.6,66,0
Gail Miller,7.3,63,0
Harold Vazquez,4.9,23,0
Mary Brown,8.8,29,0
Amanda Taylor,7.1,24,0
Shelby Green,0.0,3,1
William Love,4.6,15,0
Alexandra Johnson,7.4,26,0
Calvin Burns,8.0,53,0
John Garcia,4.1,42,0
Richard Woods,3.5,81,0
Scott Travis,2.1,81,0
Jeremy Houston,2.0,36,0
Meredith Burton,2.5,8,0
David Barnes,3.1,64,0
Lisa Lucas,5.5,98,0
Beth Coleman,0.1,87,0
Jennifer Collins,3.3,50,0
Jason Powell,7.2,78,0
Kimberly Kemp,9.6,22,0
Sarah Archer,1.9,43,1
David Smith,9.2,61,0
Megan Love,9.2,4,0
Richard Palmer,6.5,61,0
Miguel Webb,1.6,58,1
Bobby Franklin,8.9,68,0
Madeline Adkins,9.0,59,0
Donna Taylor,7.8,52,0
Monique Hoffman,9.3,7,0
Michael Powell,8.4,38,0
Jennifer Miller,5.6,86,0
Amy Hunt,3.2,68,0
Matthew White,0.2,73,0
Alexandra Diaz,6.9,45,0
Jacob Roth,0.7,19,1
Harold Smith,2.8,3,0
Matthew Lee,3.4,48,0
Joseph Taylor,6.3,21,0
Lorraine Lee,5.7,49,0
Casey Garcia,1.9,14,1
Sean Bishop,8.6,96,0
Mathew Rasmussen,3.1,40,0
Teresa Houston,7.1,34,0
Eric Lloyd,4.1,63,0
Tina Cherry,8.8,47,0
Lauren Lewis,4.5,38,0
Albert Ramirez,2.2,38,0
Jacqueline Ramirez,1.8,47,1
Tiffany Rogers,7.8,99,0
Seth Bryant,2.0,11,0
Laura Lutz,4.4,3,0
Angela Owens,8.0,64,0
Thomas Thomas,1.5,43,1
Danielle Sanchez,9.2,93,0
James Rivera,8.7,39,0
Sara Waller,7.8,18,0
Rhonda Evans,7.7,12,0
Dr. Michele Moss,8.2,66,0
Lindsey Cox,6.8,16,0
Melissa Rosales,2.1,4,0
Timothy Phelps,4.6,91,0
Alice Koch,8.6,14,0
Debra Brady,0.0,5,1
Lisa Moore,6.9,76,0
Robert Fry,8.7,42,0
Denise Owens,4.7,5,0
Charles Cruz,1.0,98,0
Linda Goodman,6.6,39,0
Jacob Jenkins,0.2,97,0
Lisa Davidson,3.1,26,0
Nicholas Reid,3.2,24,0
Maria Johnson,2.9,68,0
Steven Howell,3.2,56,0
Amanda Carrillo,6.7,34,0
Dawn Ford,1.5,35,1
Jason Bates,1.1,79,0
Jacob Montgomery,5.6,13,0
Teresa Rogers,2.1,44,0
Victoria Neal,5.5,34,0
James York,1.4,90,0
Mary Cole,8.0,73,0
Kimberly Ross,2.4,9,0
Rebecca Gardner,3.1,43,0
Leslie Luna,5.4,6,0
Corey Johnson,1.3,60,0
Kristen Young,9.0,6,0
Sarah Orozco,1.1,6,1
Marvin Moore,0.9,50,1
Andrea Beard,1.8,76,0
Carlos Hernandez,8.9,80,0
Jennifer Hayden,8.4,89,0
Ryan Rodriguez,4.5,45,0
Sean Gordon,3.1,25,0
Tanya Miller,7.1,85,0
Joyce Woods,8.1,10,0
Wyatt Melendez,9.7,96,0
Jason Garcia,7.6,72,0
Rebecca Green,1.3,89,0
Emily Vance,4.7,58,0
Adrian Torres,3.1,82,0
Edward Crawford,7.1,59,0
William Boone,4.7,28,0
Jeffery Morris,1.4,78,0
Jessica Hawkins,2.6,46,0
William Charles,3.9,89,0
Mrs. Alexandra Morgan,9.2,42,0
Thomas Rangel,7.9,41,0
Aaron Butler,4.5,3,0
Samantha Michael,0.7,14,1
Michele Dickson,3.5,59,0
Christian Patrick,8.5,36,0
Lisa Villarreal,7.7,77,0
Alexander Watkins,5.7,65,0
Ethan Smith,1.0,91,0
Anthony Miles,8.0,41,0
Kelli York,5.6,9,0
Gregory Wright,7.9,68,0
Aaron Ford,4.6,75,0
Christopher Hughes,4.1,79,0
Elizabeth Cunningham,2.4,20,0
Teresa Fletcher,9.7,49,0
Michael Butler,0.7,26,1
Christopher Wolfe,8.1,75,0
Paula Lewis,4.3,55,0
Evelyn Cross,5.7,43,0
Justin Riley,5.4,30,0
Laura Townsend,1.7,85,0
Ashley Sanchez,0.8,91,0
Robert Dennis,5.7,62,0
John Bradford,1.1,76,0
Tamara Sharp,4.6,71,0
Gregory Harris,1.0,56,1
Jerry Jensen,1.8,51,1
Derrick Smith,0.7,13,1
Nancy Weiss,6.9,76,0
Chelsea Williams,7.7,48,0
Derek Griffin,3.3,82,0
Sonya Wells,6.6,11,0
Amber Carroll,2.2,17,0
Jesse Hall,8.9,96,0
Teresa Jefferson,6.4,0,0
Hannah Jarvis,7.6,84,0
Larry Smith,1.5,68,0
Abigail Howard,2.9,78,0
Richard Carney,5.8,25,0
Ryan Miller,2.1,40,0
Joshua Valdez,3.0,86,0
Antonio Williams,3.0,55,0
Jaclyn Jones,7.2,44,0
David Dunn,9.9,74,0
Tami Hicks,0.1,65,0
Matthew Walker,4.0,16,0
Jennifer Johnson,8.5,7,0
Elizabeth Burns,3.7,70,0
Jason Nelson,9.7,0,0
Danny Branch,7.0,45,0
Jeremy Dominguez,1.1,36,1
Rachel West,8.7,30,0
Alyssa Hicks,4.3,75,0
Audrey Smith,3.9,40,0
Samantha Baker,7.1,51,0
Patrick Hayes,3.8,69,0
Michelle Goodwin,2.1,22,0
Ana Hill,4.7,24,0
Brian Stark,5.6,46,0
Shelly Stephens,8.4,19,0
Carl Martin,2.9,85,0
James Kelly,1.3,1,1
Mark Goodman,0.7,2,1
David Brown,1.4,62,0
Gary Huff,6.6,17,0
James Booth,0.8,82,0
Andrew Rivas,8.1,58,0
Jackie Martinez,8.9,89,0
William Johnson,6.0,54,0
Chelsea White,6.2,58,0
Hannah Garcia,5.1,70,0
Mr. Derek Fuller PhD,8.2,49,0
Mrs. Lisa Small DDS,3.6,23,0
Angela Hill,4.2,0,0
Michele Mason,5.8,93,0
Stephanie Greene,2.4,64,0
Stacey Richards,2.7,69,0
Ryan Weiss,5.8,4,0
Terri Santos,9.8,72,0
James Robbins,4.8,47,0
Jesus Wright,1.1,61,0
David Richardson,9.6,10,0
Kelly Richards,1.4,93,0
Amy Hunt,5.3,96,0
Mark Parker,7.8,59,0
Andrea Mack MD,5.2,66,0
Christopher Nguyen,8.9,11,0
Heather Morton,2.5,80,0
Kendra Sanchez,7.4,85,0
Julie Vega,0.8,81,0
Brian Foster,5.4,74,0
Mr. Austin Decker Jr.,3.1,6,0
Damon Kelly,9.0,68,0
Michael Stanley,7.8,60,0
Linda Campbell,4.5,60,0
Kenneth Hernandez,5.7,42,0
Stephen Baker,4.2,37,0
Wendy Powell,2.9,4,0
Jacob Perez,7.0,76,0
Lauren Ray,7.5,93,0
Christopher Davis,7.9,33,0
Amy Thompson,0.6,60,0
Patricia Johnson,5.8,73,0
Kenneth Navarro,0.5,37,1
Brandi Stevens,8.1,79,0
Bobby White,0.3,62,0
Kenneth Griffin,0.8,64,0
Mark Hampton,0.8,100,0
Melanie Andrade,2.8,16,0
Karen Nelson,6.2,35,0
Rachael Coleman,8.6,1,0
Dana Parker,7.4,77,0
Melissa Clarke,1.7,75,0
Dr. Austin Kelley,7.4,84,0
Katherine Johnson,4.5,22,0
Sharon Beck,2.6,89,0
Sabrina Kirk,2.4,23,0
Stephanie Smith,8.0,4,0
Benjamin Richardson,3.4,10,0
Mary Griffin,9.7,76,0
Christine Allen,9.3,19,0
Christopher Peters,8.4,96,0
Eric Moran,9.9,98,0
Andrew English,3.8,84,0
Jeremy Morales,4.4,81,0
Christina Scott,1.7,73,0
Amber Copeland,7.3,44,0
Julie Mcpherson,0.5,33,1
Marissa Medina,7.6,14,0
Frank Pollard,0.5,59,1
David Garcia,4.0,38,0
Elizabeth Adkins,4.8,96,0
Edward Graham,9.2,29,0
Derek Sanchez,3.8,90,0
Angela Phillips,3.9,33,0
Raymond Potter,1.5,55,1
Regina Brady,0.1,57,1
Joseph James,3.8,40,0
Mrs. Rhonda Williams DDS,9.6,87,0
Stephanie Torres,9.6,12,0
Gary Washington,9.2,81,0
Amy Martinez,3.5,55,0
Ricardo Carlson,6.1,83,0
Michael Snyder,8.6,42,0
Joseph Murphy,2.7,12,0
Elizabeth Braun,2.6,74,0
Jennifer Miller,3.9,98,0
Melissa Young,6.8,30,0
Ashley Sherman,7.3,75,0
Jennifer Duffy MD,7.7,66,0
Matthew Garza,3.4,88,0
Joshua Chapman,9.9,40,0
Nathan Kaiser,5.5,86,0
Jessica Fisher,0.1,8,1
April Thomas,0.1,12,1
Jonathan Wade,5.3,87,0
John Hill,4.5,28,0
Pamela Carey,7.3,32,0
Michael Lewis,1.9,3,1
Jasmine Curtis,6.2,7,0
Philip Williams,9.4,84,0
Charles Moss,8.9,27,0
Julie Lynch,9.5,81,0
Stephanie Gardner,1.2,15,1
Gregory Koch,0.9,77,0
Samuel Munoz,1.3,84,0
Michael Gay,7.6,82,0
Kenneth Reed,5.7,23,0
Robert Robinson,9.0,89,0
Hunter Thomas,1.8,37,1
Tina Valdez,4.7,9,0
Roger Marshall,6.4,35,0
Tina Cabrera,7.7,88,0
Jon Rivera,9.0,98,0
Zachary Mitchell,7.7,32,0
Kyle Doyle,1.6,9,1
Faith Reyes,2.8,7,0
Devin Smith,3.8,42,0
Amy Anderson,10.0,33,0
Megan Espinoza,9.6,33,0
Michael Jenkins,1.8,8,1
Jeffrey Wallace,4.9,25,0
Amy Herrera,6.1,22,0
Jenna Bradford,6.5,13,0
Jill Nichols,1.4,98,0
Amy Foley,4.3,78,0
Jillian Fischer,6.4,56,0
Patrick Jenkins,7.2,13,0
James Sherman,0.3,9,1
Kristine Reeves,5.7,32,0
Shannon Walker,7.8,2,0
Stephen Cooper,9.0,19,0
Heather Curtis,6.5,0,0
Dr. Robin Davis MD,9.3,85,0
Brian Hamilton,3.9,19,0
John Ford,7.0,50,0
Eric Miller,5.7,65,0
Jasmine Johnston,7.1,98,0
Jacqueline Mitchell,4.9,55,0
Michael Silva,4.0,93,0
Stacey Schmidt,7.8,100,0
Rebecca Owens,0.7,28,1
Teresa Smith,0.0,88,0
George Alexander,8.2,61,0
Ashley Gaines,1.2,68,0
Casey Fletcher,9.4,45,0
Brianna Mcdaniel,3.3,38,0
Laurie Hancock,4.0,80,0
Courtney Johnson,10.0,82,0
Steven Barnes,0.9,68,0
Travis Brown,8.5,43,0
Christina Parsons,0.8,58,1
Joshua Brown,7.6,37,0
Corey Barker,6.5,22,0
Kelsey Cole,5.5,49,0
Melissa Williams DVM,6.6,38,0
Alicia Savage,7.0,13,0
Jamie Harmon,6.3,45,0
Jessica Curry,4.9,80,0
Katherine Tucker,4.4,24,0
Paul Morgan,1.4,24,1
Anthony Ayala,0.3,75,0
Thomas Nelson,2.4,49,0
Nicholas Morales,0.6,69,0
Anthony Allen,6.4,63,0
Krystal Lopez,5.3,57,0
Curtis Robinson,9.7,2,0
Sheena Garcia,0.4,7,1
Brenda Hooper,3.4,92,0
Ashley Brown,0.4,15,1
Jeanette Brown,2.1,83,0
Kari Stewart,6.7,58,0
Lauren Harris,9.4,68,0
Andrew Mejia,1.5,74,0
Kyle Lowe,2.3,9,0
Andrew Burgess,0.4,18,1
Douglas Ruiz,4.9,2,0
Deborah Lynch,4.7,79,0
Donald Mack,0.5,89,0
Sara Sweeney,6.5,1,0
Billy Smith,1.7,6,1
Elizabeth Conley,9.0,12,0
Tanya Wong,4.6,21,0
Mr. Ronald Duffy MD,8.4,8,0
Daniel Graham,8.2,13,0
Carol Solis,1.1,76,0
Danny Cross,8.0,28,0
Maureen Estrada,0.6,25,1
Travis Perez,4.3,94,0
Brian Bailey,6.8,41,0
Victoria Richardson,1.2,87,0
Philip Jenkins,5.8,17,0
Katie Flores,3.2,27,0
Matthew Washington,7.6,75,0
Donna Ferguson DVM,1.7,8,1
Jorge Carrillo,1.2,18,1
William Cruz,7.6,21,0
Alexis Lewis,7.0,70,0
Devin Martinez,1.7,31,1
Kevin Sharp,9.3,5,0
Ashley Harrell,1.3,80,0
Anthony Kennedy,6.1,99,0
Jerome Delacruz,1.6,62,0
Sharon Cook,0.8,0,1
Michael Harding,1.8,11,1
Lawrence Ramirez,7.1,75,0
Michele Daniel,8.9,53,0
Jason Hernandez,6.9,98,0
Susan Grimes,4.8,16,0
Gloria Smith,2.1,81,0
Michelle Jordan,2.7,57,0
Alfred Castro,4.1,22,0
